Variable	Variable_Label	Variable_Description
1	activity	"One of the six activities performed by the subject. The six activities are (WALKING, WALKING_UPSTAIRS, WALKING_DOWNSTAIRS, SITTING, STANDING, LAYING)"
2	subject	One of the 30 volunteers who performed the activity
3	tBodyAcc-mean-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
4	tBodyAcc-mean-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
5	tBodyAcc-mean-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
6	tGravityAcc-mean-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
7	tGravityAcc-mean-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
8	tGravityAcc-mean-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
9	tBodyAccJerk-mean-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
10	tBodyAccJerk-mean-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
11	tBodyAccJerk-mean-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
12	tBodyGyro-mean-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
13	tBodyGyro-mean-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
14	tBodyGyro-mean-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
15	tBodyGyroJerk-mean-X_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
16	tBodyGyroJerk-mean-Y_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
17	tBodyGyroJerk-mean-Z_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
18	tBodyAccMag-mean_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
19	tGravityAccMag-mean_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
20	tBodyAccJerkMag-mean_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
21	tBodyGyroMag-mean_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
22	tBodyGyroJerkMag-mean_Average	"Feature's average readings of the activity performed by the subject. To identify the feature, read C:\Coursera\Getting-and-Cleaning-Data\Project\data\features_info.txt in the data folder."
